fighter_slug,fighter_name,order,result,opponent,promotion,event,event_date,method,round,time
/fighter/Aleksandar-Coti-443586,Aleksandar Coti,3,loss,Riccardo Pala,CINTHEC,Chioggia in the Cage 4,2024-08-24,TKO (Knee),1,0:25
/fighter/Aleksandar-Coti-443586,Aleksandar Coti,4,loss,Michele Clemente,Fight1 Promotion,Oktagon Tsunami,2024-06-29,Submission (Brabo Choke),1,0:20
/fighter/Aleksandar-Coti-443586,Aleksandar Coti,5,loss,Firas Daud,GMC,German MMA Championship 38,2024-06-08,TKO (Knee and Punches),1,0:00
/fighter/Aleksandar-Coti-443586,Aleksandar Coti,6,loss,Pasquale Dromi,Gloria,Tournament 3,2024-04-20,KO,1,0:18
/fighter/Aleksandar-Coti-443586,Aleksandar Coti,7,loss,Zoltan Segedi,Sambo Club Belisce,Baraber Underground 4,2024-03-23,Submission (Armbar),1,4:32
/fighter/Aleksandar-Coti-443586,Aleksandar Coti,8,loss,Magomed Arsaev,National Fighting Championship,NFC 17,2024-02-03,Submission (Rear-Naked Choke),1,0:23
/fighter/Aleksandar-Coti-443586,Aleksandar Coti,9,loss,Mark Valovic,Absolute Combat Federation,ACF 2,2023-12-29,TKO (Punches),1,1:05
/fighter/Aleksandar-Coti-443586,Aleksandar Coti,0,loss,Uros Mitic,Savage Fight Club,Savage 2,2024-02-10,Submission (Armbar),1,2:17
/fighter/Aleksandar-Stefanovic-16640,Aleksandar Stefanovic,0,loss,Rade Novakovic,BFL,Balkan Fighting League,2026-01-31,TKO (Punches),2,3:40
/fighter/Aleksandar-Stefanovic-16640,Aleksandar Stefanovic,1,win,Juri de Sousa,MFC,Mix Fight Championship,2025-12-06,TKO (Punches),1,4:15
/fighter/Aleksandar-Stefanovic-16640,Aleksandar Stefanovic,2,loss,Jesus Samuel Chavarria,Oktagon MMA,Oktagon 78: Eckerlin vs. Truscek,2025-10-18,TKO (Injury),1,2:19
/fighter/Aleksandar-Stefanovic-16640,Aleksandar Stefanovic,3,loss,David Hosek,Oktagon MMA,Oktagon 69: Holzer vs. Ilbay,2025-04-05,Submission (Triangle Choke),1,3:38
/fighter/Aleksandar-Stefanovic-16640,Aleksandar Stefanovic,4,win,Koray Cengiz,GMC,German MMA Championship 40,2024-12-21,Submission (Smother Choke),3,3:20
/fighter/Aleksandar-Stefanovic-16640,Aleksandar Stefanovic,5,nc,Quincy Dwamena,GMC,German MMA Championship 39,2024-09-07,No Contest (Illegal Knee),1,4:56
/fighter/Aleksandar-Stefanovic-16640,Aleksandar Stefanovic,6,win,Massimiliano Pedrini,ARMMADA,ARMMADA 9,2024-07-05,Decision (Unanimous),3,5:00
/fighter/Aleksandar-Stefanovic-16640,Aleksandar Stefanovic,7,win,Quincy Dwamena,GMC,German MMA Championship 36,2023-12-16,TKO,2,0:00
/fighter/Aleksandar-Stefanovic-16640,Aleksandar Stefanovic,8,loss,Michal Tomasik,GMA,Germany vs. Lithuania,2011-04-03,TKO (Punches),1,2:05
/fighter/Aleksandar-Stefanovic-16640,Aleksandar Stefanovic,9,win,Nico Stolz,Backstreet Fights,Rematch,2009-12-12,Submission (Armbar),1,0:00
/fighter/Aleksandar-Stefanovic-16640,Aleksandar Stefanovic,10,loss,Lars Klug,VFN,VIP Fight Night 2,2009-03-21,Submission (Side Choke),1,1:43
/fighter/Aleksandar-Stefanovic-16640,Aleksandar Stefanovic,11,loss,Andreas Kraniotakes,OC,Outsider Cup 9,2008-06-14,TKO (Submission to Punches),1,1:17
/fighter/Aleksandar-Stefanovic-16640,Aleksandar Stefanovic,12,loss,Mathias Schuck,La Onda,Fight Night,2007-10-07,TKO (Punches),1,0:00
/fighter/Aleksandar-Stefanovic-16640,Aleksandar Stefanovic,13,loss,Mamed Khalidov,KSW,Konfrontacja,2007-06-02,TKO (Corner Stoppage),1,3:01
/fighter/Aleksandar-Stefanovic-16640,Aleksandar Stefanovic,14,win,Timur Akbulut,OC,Masters Fight Night 6,2006-11-11,Decision,0,0:00
/fighter/Aleksandar-Stefanovic-16640,Aleksandar Stefanovic,15,loss,Xander Nel,2H2H,Road to Japan,2006-06-18,Submission (Verbal),2,0:45
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,0,loss,Rafal Kijanczuk,MCF,Madness Cage Fighting - Champions,2018-11-02,TKO (Punches),1,0:17
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,1,loss,Ihor Potieria,MMA Pro Ukraine,Battle in the Fortress 2,2017-05-27,TKO (Punches),1,3:18
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,2,loss,Michal Pietrzak,SWG,Gold Edition,2016-03-12,TKO (Punches),2,
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,3,loss,Sylwester Borys,Kaiser Fight Night,Warriors from the Land of a Thousand Lakes,2015-12-05,Submission (North-South Choke),3,1:14
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,4,loss,Alexey Efremov,ProFC,Battle of Champions,2015-11-08,TKO (Punches),1,2:34
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,5,loss,Teo Radnic,NG,Noc Gladiatora 10,2015-09-25,Decision (Unanimous),2,5:00
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,6,win,Nikolai Bruev,ECSF,Mixfight Promo 4,2015-08-22,TKO (Head Kick and Punches),2,0:53
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,7,loss,Zelimkhan Umkhadzhiev,WFCA,Grozny Battle,2015-08-22,TKO (Punches),1,2:36
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,8,win,Anatoliy Kocharzginskiy,OGC,Mongoose Open Cup,2015-08-02,KO (Punch),1,1:55
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,9,win,Andrey Matiyka,ECSF,Mixfight Promo 3,2015-07-05,Submission (Guillotine Choke),2,1:20
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,10,loss,Nodar Kudukhashvili,M-1 Challenge,Battle of Nomads 5,2015-07-03,Decision (Unanimous),3,5:00
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,11,win,Dmitriy Bulgak,ECSF,Good Warriors,2015-04-04,TKO (Doctor Stoppage),2,5:00
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,12,win,Gregory Burdenyuk,ECSF,Iron Fist 3,2015-03-14,Submission (Guillotine Choke),1,3:00
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,13,loss,Bakhtiyar Abbasov,ECSF,Steel Warriors,2015-03-05,Submission (Rear-Naked Choke),1,3:15
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,14,win,Vladislav Gunko,WWFC,Ukraine Selection 5,2015-02-28,Submission (Guillotine Choke),1,0:49
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,15,loss,Igor Lehin,ECSF,Iron Fist 2,2014-12-13,Submission (Rear-Naked Choke),1,4:53
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,16,loss,Vasiliy Zubkov,PFC,Peresvet 1,2014-11-15,Submission (Armbar),1,1:17
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,17,win,Alexey Goncharov,ECSF,Iron Fist 1,2014-11-08,Submission (Guillotine Choke),1,2:55
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,18,loss,Alexander Torchevsky,ECSF,Mixfight Promo 2,2014-07-19,Submission (Armbar),2,1:24
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,19,win,Ivan Reber,CSFU,Southern Ukraine MMA Cup,2014-05-23,TKO (Punches),1,2:15
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,20,win,Sergey Pavlyuk,CSFU,Southern Ukraine MMA Cup,2014-05-23,Submission (Armbar),1,1:30
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,21,loss,Maxim Shvets,ECSF,Mixfight Promo,2014-04-12,TKO (Punches),2,3:28
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,22,loss,Michal Fijalka,BA,Exped Cup,2014-03-01,Submission (Rear-Naked Choke),1,3:33
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,23,loss,Kurban Omarov,Nomad MMA,Battle in the Mountains,2014-02-21,TKO,1,
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,24,win,Bogdan Bulakh,GEFC,Battle for the Crimea,2013-11-29,Submission (Guillotine Choke),1,4:15
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,25,win,Mihail Gumanyuk,ECSF,Battle for Nikolaev,2013-11-02,TKO (Punches),1,0:21
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,26,loss,Nikola Dipchikov,COG,Cage of Glory 5,2013-08-23,TKO (Punches),2,3:20
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,27,win,Anzor Baraev,ECSF,MMA Crimea Cup,2013-06-19,Submission (Rear-Naked Choke),1,2:45
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,28,win,Dovletdzhan Yagshimuradov,OC,Oplot Challenge 45,2013-03-23,Submission (Guillotine Choke),1,0:17
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,29,loss,Shamil Abdulmuslimov,GFC,Global Fight Club,2012-12-14,TKO (Punches),1,0:52
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,30,loss,Sergey Korol,ECSF,Smela MMA Cup,2012-09-15,Submission (Armbar),1,3:33
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,31,win,Vadim Benyukh,ECSF,MMA Ukraine Cup 2,2012-06-29,Submission (Rear-Naked Choke),1,2:58
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,32,win,Aleksey Shalya,ECSF,MMA Ukraine Cup 2,2012-06-29,Submission (Rear-Naked Choke),1,0:23
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,33,win,Nikolay Sinyakov,ECSF,MMA Ukraine Cup 2,2012-06-29,Submission (Rear-Naked Choke),2,1:23
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,34,win,Andrey Karasev,UOP,Annihilator,2012-06-07,Submission (Rear-Naked Choke),1,3:22
/fighter/Aleksander-Boyko-109457,Aleksander Boyko,35,loss,Omari Akhmedov,OGC,Odessa Golden Cup,2012-05-09,Submission (Triangle Choke),1,1:02
/fighter/Aleksei-Butorin-43883,Aleksei Butorin,0,win,Maxim Grishin,ACA,Kornilov vs. Vakhaev,2025-11-07,KO (Punches),1,2:46
/fighter/Aleksei-Butorin-43883,Aleksei Butorin,1,win,Asylzhan Bakhytzhanuly,ACA,Balaev vs. Khasbulaev,2020-09-19,KO (Punch),3,0:27
/fighter/Aleksei-Butorin-43883,Aleksei Butorin,2,loss,Dovletdzhan Yagshimuradov,ACA,Butorin vs. Yagshimuradov,2019-12-14,Decision (Unanimous),5,5:00
/fighter/Aleksei-Butorin-43883,Aleksei Butorin,3,win,Evgeniy Egemberdiev,ACA,Krasnodar,2019-08-31,TKO (Punches),1,4:41
/fighter/Aleksei-Butorin-43883,Aleksei Butorin,4,win,Daniel Toledo,ACA,St. Petersburg,2019-03-16,TKO (Doctor Stoppage),1,5:00
/fighter/Aleksei-Butorin-43883,Aleksei Butorin,5,win,Cory Hendricks,ACB,Moscow,2018-11-10,TKO (Knee and Punches),1,3:11
/fighter/Aleksei-Butorin-43883,Aleksei Butorin,6,loss,Gamzat Khiramagomedov,ACB,Moscow,2017-12-23,Submission (Guillotine Choke),1,2:59
/fighter/Aleksei-Butorin-43883,Aleksei Butorin,7,loss,Jonas Billstein,ACB,Moscow,2017-09-30,Submission (Rear-Naked Choke),2,2:31
/fighter/Aleksei-Butorin-43883,Aleksei Butorin,8,win,Nikola Dipchikov,ACB,St. Petersburg,2017-05-20,TKO (Punches),1,4:04
/fighter/Aleksei-Butorin-43883,Aleksei Butorin,9,win,Jake Bostwick,ACB,Stormbringer,2016-12-18,KO (Knee and Punch),1,1:58
/fighter/Aleksei-Butorin-43883,Aleksei Butorin,10,loss,Aung La N Sang,One,Dynasty of Champions 6,2016-07-02,Submission (Arm-Triangle Choke),2,1:57
/fighter/Aleksei-Butorin-43883,Aleksei Butorin,11,win,Leandro Ataides,One,Odyssey of Champions,2015-09-27,KO (Punches and Head Kick),2,3:18
/fighter/Aleksei-Butorin-43883,Aleksei Butorin,12,win,Vladimir Brik,Warrior's Way,Vendetta,2014-12-26,Submission (Rear-Naked Choke),1,1:04
/fighter/Aleksei-Butorin-43883,Aleksei Butorin,13,win,Anthony Ruiz,League S-70,Plotforma 5th,2014-08-09,TKO (Doctor Stoppage),3,4:43
/fighter/Aleksei-Butorin-43883,Aleksei Butorin,14,win,Charles Andrade,Warrior's Way,Championship 4,2014-05-11,KO (Kick),1,4:55
/fighter/Aleksei-Butorin-43883,Aleksei Butorin,15,win,Tadas Rimkevicius,Warrior's Way,Championship 3,2014-03-02,KO (Punch),2,2:45
/fighter/Aleksei-Butorin-43883,Aleksei Butorin,16,win,Vladimir Mishchenko,Warrior's Way,Championship 2,2013-12-08,TKO (Punches),1,1:10
/fighter/Aleksei-Butorin-43883,Aleksei Butorin,17,win,Davor Vidovic,Warrior's Way,Championship 1,2013-08-25,TKO (Punches),1,1:00
/fighter/Aleksei-Butorin-43883,Aleksei Butorin,18,win,Ibragim Khalilov,M-1 Challenge,2009 Selections 5,2009-07-22,TKO (Punches),2,1:28
/fighter/Aleksei-Butorin-43883,Aleksei Butorin,19,win,Sergey Khramov,M-1 Challenge,2009 Selections 2,2009-04-19,TKO (Punches),2,2:15
/fighter/Aleksei-Butorin-43883,Aleksei Butorin,20,win,Telman Sherifov,fightFORCE,Day of Anger,2009-02-28,TKO (Punches),1,1:10
/fighter/Alen-Amedovski-134209,Alen Amedovski,0,loss,Joe Pyfer,UFC Fight Night,Sandhagen vs. Song,2022-09-17,TKO (Punches),1,3:55
/fighter/Alen-Amedovski-134209,Alen Amedovski,1,loss,Joseph Holmes,UFC Fight Night,Holm vs. Vieira,2022-05-21,Submission (Rear-Naked Choke),1,1:04
/fighter/Alen-Amedovski-134209,Alen Amedovski,2,loss,John Phillips,UFC Fight Night,Hermansson vs. Cannonier,2019-09-28,KO (Punches),1,0:17
/fighter/Alen-Amedovski-134209,Alen Amedovski,3,loss,Krzysztof Jotko,UFC Fight Night,Overeem vs. Oleynik,2019-04-20,Decision (Unanimous),3,5:00
/fighter/Alen-Amedovski-134209,Alen Amedovski,4,win,Ibrahima Mane,Bellator,Sakara vs. Kauppinen,2018-12-01,KO (Punches),1,0:12
/fighter/Alen-Amedovski-134209,Alen Amedovski,5,win,Will Fleury,Bellator,Pitbull vs. Weichel 2,2018-07-14,KO (Punches),1,1:39
/fighter/Alen-Amedovski-134209,Alen Amedovski,6,win,Badr Mamdouh,Magnum,Magnum Fighting Championship 4,2018-03-03,TKO (Elbows),2,3:06
/fighter/Alen-Amedovski-134209,Alen Amedovski,7,win,Massimiliano Sammarco,Cage Warrior,Knockout in the Cage Selection,2015-03-14,TKO (Punches),2,3:57
/fighter/Alen-Amedovski-134209,Alen Amedovski,8,win,Ivan Dorozhkin,Slam,Nemesis,2015-01-05,TKO (Injury),1,0:11
/fighter/Alen-Amedovski-134209,Alen Amedovski,9,win,Alexander Tcaci,MITC,Milano in the Cage 4,2014-05-03,TKO (Punches),1,3:00
/fighter/Alen-Amedovski-134209,Alen Amedovski,10,win,Roberto Fantasia,MITC,Milano in the Cage 3,2013-05-04,TKO (Punches),1,0:38
/fighter/Alen-Amedovski-134209,Alen Amedovski,11,win,Simone Tosatto,FIKBMS,Memorial Fabio Arbeia 7,2012-11-25,TKO (Punches),1,0:40
/fighter/Alex-Beaule-143129,Alex Beaule,0,win,Mathieu Langlais,TKO,Jourdain vs. Morgan,2018-12-07,TKO (Punches),3,0:37
/fighter/Alex-Beaule-143129,Alex Beaule,1,loss,Aaron Jeffery,BTC,Prophecy,2018-06-23,KO (Punches),3,0:44
/fighter/Alex-Beaule-143129,Alex Beaule,2,win,Chris O'Kill McMullen,TKO,Denouement,2017-09-08,TKO (Punches),2,1:47
/fighter/Alex-Beaule-143129,Alex Beaule,3,win,Virgile Beaulieu,TKO,Rivals,2017-01-13,Decision (Unanimous),3,5:00
/fighter/Alex-Beaule-143129,Alex Beaule,4,loss,James Kouame,Challenge,Think Big,2013-08-17,Decision (Split),3,5:00
/fighter/Alex-da-Silva-Coelho-153799,Alex da Silva Coelho,0,win,Arbi Mezhidov,UAE Warriors,Chopurov vs. Ramos,2026-03-28,Submission (Anaconda Choke),2,0:44
/fighter/Alex-da-Silva-Coelho-153799,Alex da Silva Coelho,1,win,Kurbanali Isabekov,UAE Warriors,Morozov vs. Saraliev,2025-09-10,KO (Punch),2,4:42
/fighter/Alex-da-Silva-Coelho-153799,Alex da Silva Coelho,2,loss,Amru Magomedov,UAE Warriors,Magomedov vs. Da Silva,2025-02-22,TKO (Body Kick and Punches),1,2:08
/fighter/Alex-da-Silva-Coelho-153799,Alex da Silva Coelho,3,win,Dinislam Kamavov,UAE Warriors,Da Silva vs. Kamavov,2024-01-20,Decision (Unanimous),3,5:00
/fighter/Alex-da-Silva-Coelho-153799,Alex da Silva Coelho,4,win,Bagysh Zharmamatov,UAE Warriors,Magomedov vs. da Silva,2023-08-26,Submission (Guillotine Choke),1,0:41
/fighter/Alex-da-Silva-Coelho-153799,Alex da Silva Coelho,5,win,Ali Mashrapov,UAE Warriors,AlQaisi vs. Arnett,2023-05-20,KO (Knee),3,1:38
/fighter/Alex-da-Silva-Coelho-153799,Alex da Silva Coelho,6,loss,Makkasharip Zaynukov,UAE Warriors,Machaev vs. Olzhabay,2023-03-18,Decision (Split),3,5:00
/fighter/Alex-da-Silva-Coelho-153799,Alex da Silva Coelho,7,loss,Joe Solecki,UFC Fight Night,Volkov vs. Rozenstruik,2022-06-04,Decision (Majority),3,5:00
/fighter/Alex-da-Silva-Coelho-153799,Alex da Silva Coelho,8,loss,Brad Riddell,UFC,Adesanya vs. Costa,2020-09-26,Decision (Unanimous),3,5:00
/fighter/Alex-da-Silva-Coelho-153799,Alex da Silva Coelho,9,win,Rodrigo Vargas,UFC Fight Night,Shevchenko vs. Carmouche 2,2019-08-10,Decision (Unanimous),3,5:00
/fighter/Alex-da-Silva-Coelho-153799,Alex da Silva Coelho,10,loss,Alexander Yakovlev,UFC Fight Night,Overeem vs. Oleynik,2019-04-20,Submission (Guillotine Choke),2,3:10
/fighter/Alex-da-Silva-Coelho-153799,Alex da Silva Coelho,11,win,Slavoljub Mitic,SBC,Serbian Battle Championship 19,2018-12-01,TKO (Doctor Stoppage),1,1:11
/fighter/Alex-da-Silva-Coelho-153799,Alex da Silva Coelho,12,win,Fernando Colman,Aspera,Aspera Fighting Championship 57,2017-09-09,Submission (Guillotine Choke),1,2:49
/fighter/Alex-da-Silva-Coelho-153799,Alex da Silva Coelho,13,loss,Jakub Kowalewicz,Brave CF,Go for Glory,2017-04-22,Decision (Unanimous),3,5:00
/fighter/Alex-da-Silva-Coelho-153799,Alex da Silva Coelho,14,win,Daniel Swain,Brave CF,Dynasty,2016-12-02,TKO (Punches),2,4:37
/fighter/Alex-da-Silva-Coelho-153799,Alex da Silva Coelho,15,win,Marcelo Rodrigues Piazza Santos,AFC,Road to KSW,2016-07-09,TKO (Punches),2,1:00
/fighter/Alex-da-Silva-Coelho-153799,Alex da Silva Coelho,16,win,Welinton Dias,AFC,Aspera Fighting Championship 33,2016-03-19,KO (Punch),1,1:07
/fighter/Alex-da-Silva-Coelho-153799,Alex da Silva Coelho,17,win,Wesley dos Santos,KOC,K.O. Combate 2,2015-11-21,Submission (Armbar),1,4:51
/fighter/Alex-da-Silva-Coelho-153799,Alex da Silva Coelho,18,win,Guilherme Batista,BC,Blasius Combat 2,2015-11-07,TKO (Punches),1,1:17
/fighter/Alex-da-Silva-Coelho-153799,Alex da Silva Coelho,19,win,Gabriel Vieira das Neves,Aspera,Indio Brabo vs. Ribeiro,2015-10-17,TKO (Elbows),1,2:48
/fighter/Alex-da-Silva-Coelho-153799,Alex da Silva Coelho,20,win,Silvio Fernandes,AFC,Aspera FC 22,2015-07-12,KO (Knee),1,0:44
/fighter/Alex-da-Silva-Coelho-153799,Alex da Silva Coelho,21,win,Luis Fernando Messa,AFC,Aspera FC 21,2015-06-26,TKO (Elbows),1,4:26
/fighter/Alex-da-Silva-Coelho-153799,Alex da Silva Coelho,22,win,Mateus Santana Dias,Fox Fight Joacaba,Fox Fight 1,2015-06-13,KO (Punch),1,1:55
/fighter/Alex-da-Silva-Coelho-153799,Alex da Silva Coelho,23,win,Marcelo Boldrini,AFC,Aspera FC 17,2015-04-04,TKO (Punches),1,4:07
/fighter/Alex-da-Silva-Coelho-153799,Alex da Silva Coelho,24,win,Fernando Scariot,AFC,Aspera FC 14,2014-11-29,Submission (Rear-Naked Choke),2,2:56
/fighter/Alex-da-Silva-Coelho-153799,Alex da Silva Coelho,25,win,Antonio Marcos Pereira,AFC,Aspera FC 11,2014-08-30,Submission (Rear-Naked Choke),1,3:12
/fighter/Alex-da-Silva-Coelho-153799,Alex da Silva Coelho,26,win,Celso Ferreira,CFP,Curitiba Fight Pro 2,2014-08-09,Submission (Rear-Naked Choke),1,4:50
/fighter/Alex-da-Silva-Coelho-153799,Alex da Silva Coelho,27,win,Herison Oliveira,AFC,Aspera FC 8,2014-06-14,TKO (Punches),1,1:16
/fighter/Alex-da-Silva-Coelho-153799,Alex da Silva Coelho,28,win,Jeferson Lins,AFC,Aspera FC 7,2014-05-25,Submission (Rear-Naked Choke),1,3:20
/fighter/Alex-da-Silva-Coelho-153799,Alex da Silva Coelho,29,win,Guilherme Souza,CFP,Curitiba Fight Pro,2014-02-22,TKO (Doctor Stoppage),1,
/fighter/Alex-da-Silva-Coelho-153799,Alex da Silva Coelho,30,win,Douglas Carvalho,AFC,Aspera FC 3,2014-02-16,Submission (Triangle Choke),1,4:16
/fighter/Alex-da-Silva-Coelho-153799,Alex da Silva Coelho,31,win,Igor Duarte,AFC,Aspera FC 2,2014-01-18,KO (Head Kick),1,2:20
/fighter/Alex-da-Silva-Coelho-153799,Alex da Silva Coelho,0,win,Alison Alison,AFC,Aspera FC 1,2013-12-21,TKO (Punches),1,2:52
/fighter/Alex-da-Silva-Coelho-153799,Alex da Silva Coelho,1,win,Claiton Garcia,AFC,Aspera FC 1,2013-12-21,Decision (Unanimous),3,3:00
/fighter/Alex-da-Silva-Coelho-153799,Alex da Silva Coelho,2,win,Jhony Rodrigues,FHB,Full Heroes Battle 5,2013-12-15,Decision (Unanimous),3,3:00
/fighter/Alex-Krynis-456242,Alex Krynis,0,loss,Rafael Aronov,Zuri,MMA-K1 Fight Night,2018-04-01,Submission (Anaconda Choke),1,0:00
/fighter/Alex-Lohore-140477,Alex Lohore,0,loss,Rhys McKee,Professional Fighters League,PFL Belfast: Kelly vs. Wilson,2026-04-16,Decision (Unanimous),3,5:00
/fighter/Alex-Lohore-140477,Alex Lohore,1,win,Mansur Abdurzakov,Brave CF,Brave Combat Federation 94,2025-05-17,TKO (Punches),3,4:37
/fighter/Alex-Lohore-140477,Alex Lohore,2,loss,Artur Szczepaniak,KSW,Le Classique: Parnasse vs. Varela,2024-12-20,KO (Head Kick and Punches),2,0:54
/fighter/Alex-Lohore-140477,Alex Lohore,3,win,Jivko Stoimenov,Brave CF,Brave Combat Federation 86,2024-08-24,TKO (Punches),1,4:03
/fighter/Alex-Lohore-140477,Alex Lohore,4,win,Marcin Bandel,Brave CF,Brave Combat Federation 83,2024-05-25,TKO (Punches),1,1:20
/fighter/Alex-Lohore-140477,Alex Lohore,5,loss,Ion Surdu,Oktagon MMA,Oktagon 48: Aby vs. Garcia,2023-11-04,KO (Punches),1,4:10
/fighter/Alex-Lohore-140477,Alex Lohore,6,loss,David Kozma,Oktagon MMA,Oktagon 43: Kincl vs. Vemola 2,2023-05-20,Decision (Unanimous),3,5:00
/fighter/Alex-Lohore-140477,Alex Lohore,7,win,Samuel Kristofic,Oktagon MMA,Oktagon 40: Kozma vs. Siwiec,2023-03-04,Decision (Unanimous),3,5:00
/fighter/Alex-Lohore-140477,Alex Lohore,8,win,Matus Juracek,Oktagon MMA,Oktagon 38: Macek vs. Lopez,2022-12-30,KO (Punches),3,0:16
/fighter/Alex-Lohore-140477,Alex Lohore,9,loss,Patrik Kincl,Oktagon MMA,Oktagon 35: Kincl vs. Lohore,2022-09-17,KO (Elbows),1,1:54
/fighter/Alex-Lohore-140477,Alex Lohore,10,win,Zdenek Polivka,Oktagon MMA,Oktagon 31: Kristofic vs. Kincl,2022-02-26,TKO (Punches),1,3:25
/fighter/Alex-Lohore-140477,Alex Lohore,11,win,Tato Primera,Oktagon MMA,Oktagon 22: Vemola vs. Datelinka,2021-03-27,Decision (Unanimous),3,5:00
/fighter/Alex-Lohore-140477,Alex Lohore,12,loss,Leandro Silva,Oktagon MMA,Oktagon 21: Paradeiser vs. Buchinger,2021-01-30,Decision (Split),3,5:00
/fighter/Alex-Lohore-140477,Alex Lohore,13,loss,Karlos Vemola,Oktagon MMA,Oktagon 20: Vemola vs. Lohore,2020-12-30,Decision (Unanimous),5,5:00
/fighter/Alex-Lohore-140477,Alex Lohore,14,win,Anderson Goncalves,Probellum MMA,Dubai: Lazzez vs. Murati,2020-02-07,Submission (Rear Naked Choke),3,0:32
/fighter/Alex-Lohore-140477,Alex Lohore,15,loss,Joilton Lutterbach,CW,Cage Warriors 111,2019-11-22,KO (Punches),1,0:27
/fighter/Alex-Lohore-140477,Alex Lohore,16,win,Aaron Khalid,CW,Cage Warriors 106: Night of Champions,2019-06-29,Submission (Guillotine Choke),2,4:26
/fighter/Alex-Lohore-140477,Alex Lohore,17,loss,Nicolas Dalby,CW,Cage Warriors 103,2019-03-09,TKO (Punches),4,1:47
/fighter/Alex-Lohore-140477,Alex Lohore,18,win,Tim Barnett,CW,Cage Warriors 100,2018-12-08,TKO (Punches),1,3:41
/fighter/Alex-Lohore-140477,Alex Lohore,19,win,Sam Boult,CW,Cage Warriors 98,2018-10-20,TKO (Punches),2,3:18
/fighter/Alex-Lohore-140477,Alex Lohore,20,win,Olli Santalahti,Cage,Cage 44,2018-09-08,Decision (Unanimous),3,5:00
/fighter/Alex-Lohore-140477,Alex Lohore,21,loss,Ion Pascu,BAMMA,Lohore vs. Pascu,2018-05-12,Decision (Unanimous),3,5:00
/fighter/Alex-Lohore-140477,Alex Lohore,22,loss,Terry Brazier,BAMMA,Lohore vs. Brazier,2018-03-09,Decision (Split),3,5:00
/fighter/Alex-Lohore-140477,Alex Lohore,23,win,Richard Kiely,BAMMA,Dublin,2017-11-10,Submission (Kneebar),1,4:25
/fighter/Alex-Lohore-140477,Alex Lohore,24,win,Nathan Jones,BAMMA,Lewis-Parry vs. Jackson,2017-09-15,KO (Knee),1,4:13
/fighter/Alex-Lohore-140477,Alex Lohore,25,win,Dan Vinni,Bellator,Daley vs. MacDonald,2017-05-19,KO (Punches),2,0:56
/fighter/Alex-Lohore-140477,Alex Lohore,26,win,Colin Fletcher,Bellator,McGeary vs. McDermott,2017-02-24,Submission (Rear-Naked Choke),2,2:42
/fighter/Alex-Lohore-140477,Alex Lohore,27,win,Harry Marple,FSC,FightStar Championship 8,2016-12-10,Submission (Guillotine Choke),1,2:55
/fighter/Alex-Lohore-140477,Alex Lohore,28,win,Josh Collins,UCMMA,Ultimate Challenge MMA 48,2016-09-03,Decision (Unanimous),3,5:00
/fighter/Alex-Lohore-140477,Alex Lohore,29,win,Tom Wincott,UCMMA,Ultimate Challenge MMA 47,2016-05-07,Decision (Unanimous),3,5:00
/fighter/Alex-Lohore-140477,Alex Lohore,30,win,Martyn Harris,UCMMA,Ultimate Challenge MMA 46,2016-02-06,TKO (Punches),1,4:59
/fighter/Alex-Lohore-140477,Alex Lohore,31,win,Martin Hudson,TMT MMA,Too Much Talent: Fight Night 6,2015-11-28,TKO (Punches),1,4:05
