promotion,bouts,fighters,direct_ufc,linked_to_ufc,link_rate
Euro,3,3,2,3,1.0
VF,3,3,0,1,0.333
CAVEMMA,3,2,0,1,0.5
Fearless,3,1,0,1,1.0
GOW,3,3,0,2,0.667
UF,3,3,1,3,1.0
SS,3,1,0,1,1.0
Fighting Zone,3,3,1,3,1.0
LMMA,3,3,0,2,0.667
Probellum MMA,3,3,0,2,0.667
OGC,3,2,1,2,1.0
La Onda,3,3,0,2,0.667
WFS,3,3,1,2,0.667
WFN,3,2,0,1,0.5
BPN,3,2,0,0,0.0
Go FC,3,3,0,1,0.333
PBFN,3,2,0,1,0.5
CFT,3,2,0,0,0.0
Champions Fight,3,2,0,1,0.5
MGFN,3,2,0,1,0.5
ROF,3,3,2,2,0.667
AOS7,3,3,0,0,0.0
Brutaal Fight Night,3,1,0,1,1.0
Hype FC,3,2,0,1,0.5
Adrenaline,3,1,1,1,1.0
Turku Fight,3,2,0,1,0.5
Shooto Finland,3,3,0,2,0.667
IHC,3,2,1,2,1.0
SB,3,1,1,1,1.0
UFC on Fuel TV,3,2,2,2,1.0
PKM,3,2,0,2,1.0
Fight1 Promotion,3,2,0,0,0.0
Frontline Fight Series,3,3,0,3,1.0
SW,3,1,0,0,0.0
NP Fight Night,3,3,0,2,0.667
OEF,3,2,0,2,1.0
Nemesis Fighting Alliance,3,2,0,1,0.5
Flex Fight Series,3,2,0,1,0.5
IMVT,3,2,0,2,1.0
TeutoFight,3,1,0,0,0.0
Vale Tudo Japan,3,3,0,3,1.0
Time to Shine,3,3,0,1,0.333
Slugfest,3,2,0,1,0.5
MGL-1 Fighting Championship,3,1,0,0,0.0
BMF,3,2,0,0,0.0
BSB Fight,3,3,0,2,0.667
IE Fight Night,3,2,0,1,0.5
LeLeo Code MMA,3,3,0,1,0.333
WTFCA,3,3,0,1,0.333
Samurai,3,3,1,3,1.0
World Cossack Fight Federation,3,2,0,1,0.5
Game of Cage,3,2,0,1,0.5
NBR,3,3,0,2,0.667
Pain Pit Fight Night,3,3,0,3,1.0
FNM,3,2,1,2,1.0
ZSSC,3,1,1,1,1.0
Heroes of the Arena,3,1,0,0,0.0
Goat Promotions,3,2,0,2,1.0
PK,3,2,0,1,0.5
Rebel,3,2,0,2,1.0
National Fight Alliance,3,1,0,1,1.0
TU,3,2,0,1,0.5
WCS,3,2,1,2,1.0
Mix It Up Sports,3,2,0,1,0.5
EMC: Talents,3,2,0,0,0.0
FCB,3,3,0,2,0.667
Metanoia Fight Combat,3,3,0,1,0.333
FCP,3,2,0,1,0.5
OT,3,1,0,0,0.0
Honneur et Gloire,3,2,0,1,0.5
Cage XFC,3,3,1,3,1.0
Fight Night,3,3,0,3,1.0
XCage,3,1,0,1,1.0
SoCa Fights / Alliance MMA,3,3,0,3,1.0
AMMA FC,3,2,0,1,0.5
MMA,3,2,0,2,1.0
CGP,3,3,0,3,1.0
MTK MMA,3,3,0,2,0.667
Italian Cage,3,3,0,1,0.333
Monster Octagon Fight,3,3,0,0,0.0
AGM,3,3,0,3,1.0
Virtus MMA,3,2,0,0,0.0
Premier FC,3,1,0,0,0.0
IMMAA,3,1,0,0,0.0
W-1,3,2,0,2,1.0
MMADU,3,2,0,1,0.5
Sokol Fighting,3,3,0,2,0.667
Unity Fight Series,3,3,0,2,0.667
War,3,3,0,3,1.0
AXFC,3,2,0,2,1.0
Victory Cage Fighting Championships,3,2,0,0,0.0
Kombat Goiano,3,2,0,1,0.5
FCDH,3,2,0,1,0.5
SFMMA,3,1,1,1,1.0
Wawan,3,2,0,1,0.5
AOS6,3,3,0,0,0.0
AOS5,3,3,0,1,0.333
United Combat League,3,3,0,3,1.0
Zuri Warriors Championship,3,3,0,0,0.0
Mix Fight Israel,3,2,0,1,0.5
Trophy,3,2,1,2,1.0
Iron Boy Promotions,3,3,0,2,0.667
Warrior,3,2,0,0,0.0
Elite Fight Night,3,2,0,0,0.0
AOS8,3,3,0,0,0.0
EFM Show,3,3,0,3,1.0
JFC,3,3,0,1,0.333
Brother's Octagon Fight,3,2,0,0,0.0
Fairtex Fight Promotion,3,2,0,1,0.5
CGA,3,3,0,0,0.0
Hendo Sports Management,3,2,0,1,0.5
MPX Promotions,3,3,0,3,1.0
Elite Amateur Fight League,3,3,0,1,0.333
M-1 Global / Angel Fight Promotions,3,3,1,2,0.667
Xplode Fight Series,3,3,0,2,0.667
Impact MMA,3,3,0,2,0.667
TDLMMA,3,1,0,0,0.0
PCFC,3,3,0,0,0.0
RBFC,3,2,0,2,1.0
Extreme Challenge,3,3,0,2,0.667
Eagles FC,3,1,0,1,1.0
MTE,3,3,0,0,0.0
SFG,3,3,1,1,0.333
Fight Fusion,3,3,0,0,0.0
SPF,3,1,0,0,0.0
Gladiator,3,1,0,0,0.0
FSF,3,2,0,1,0.5
SSCC,3,1,0,1,1.0
Combat USA,3,2,1,2,1.0
URF,3,2,0,2,1.0
Elton Monstro Fight Team,3,3,0,1,0.333
UDC Internacional,3,3,0,2,0.667
Fighting Force,3,3,0,1,0.333
KFC,3,2,0,1,0.5
Runda,3,2,0,2,1.0
Governors Cup,3,1,1,1,1.0
PFE,3,2,0,0,0.0
Spartanos Fight,3,3,0,3,1.0
GGC,3,1,0,0,0.0
Red City Fights,3,1,0,0,0.0
KOTR,3,1,0,0,0.0
Ragnarok,3,1,0,1,1.0
Savage,3,1,0,0,0.0
RSC,3,2,0,1,0.5
Zhekpe Zhek,3,1,0,0,0.0
NTF,3,3,0,1,0.333
PAWFC,3,3,0,3,1.0
Hamr Gym,3,3,0,1,0.333
TPF,3,2,0,2,1.0
VFL,3,2,0,2,1.0
Fair,3,3,0,3,1.0
Beastmode Productions,3,3,0,2,0.667
Knockout Events,3,2,0,1,0.5
TriState Cage Fights,3,1,0,1,1.0
CPWC,3,2,0,1,0.5
Falcon,3,2,0,1,0.5
COTR,3,1,0,1,1.0
Bellator Champions Series Belfast,3,3,0,3,1.0
FDI Real Kech,3,1,0,1,1.0
FFAA,2,1,0,1,1.0
FFV,2,2,1,2,1.0
Almighty Fighting Championship,2,2,0,2,1.0
Yorkshire MMA Championships,2,1,0,0,0.0
Fight Card Entertainment,2,2,0,0,0.0
BGC,2,2,0,2,1.0
Punch Fight,2,2,0,1,0.5
LITC,2,2,0,2,1.0
Perviy Club,2,2,0,0,0.0
Aleksey Raevskiy Promotion,2,1,0,0,0.0
Federal MMA,2,2,0,0,0.0
Gastro Fight Night,2,2,0,1,0.5
DFL,2,2,0,1,0.5
Flawless,2,1,1,1,1.0
Open Fighting Championship,2,2,0,0,0.0
Conquest Promotions,2,2,0,1,0.5
Virginia Cage Fighting Championships,2,1,0,0,0.0
GLFC,2,2,0,0,0.0
BoW,2,1,0,0,0.0
CWI,2,1,0,0,0.0
Pinnacle Combat,2,2,0,1,0.5
DC Fighters,2,2,0,2,1.0
Caestus,2,2,0,1,0.5
Dojo Serpiente,2,2,0,1,0.5
Coalition of Combat,2,2,0,1,0.5
Sammai Uba,2,1,0,1,1.0
XTC,2,2,0,2,1.0
ISFA,2,2,0,1,0.5
Brasil Fight,2,2,0,2,1.0
BYB Extreme,2,2,0,2,1.0
LTF,2,2,0,1,0.5
Impact,2,2,0,1,0.5
Federation of MMA of Russia,2,2,1,2,1.0
VMAU,2,2,1,2,1.0
WMMA,2,2,1,1,0.5
MMA Brazil Tour,2,2,0,1,0.5
Imortal,2,2,0,2,1.0
Affliction,2,1,1,1,1.0
GA,2,2,0,1,0.5
WCC Natural Selection,2,2,0,1,0.5
BAC,2,1,0,0,0.0
Urijah Faber A1 Combat,2,2,0,1,0.5
LXMMA,2,1,0,1,1.0
FFH,2,2,0,2,1.0
UFS,2,1,0,0,0.0
Szombathely,2,2,0,2,1.0
LATAMM,2,2,0,0,0.0
TNX,2,1,0,1,1.0
Fire Fight,2,2,0,1,0.5
FNFC,2,2,0,0,0.0
FSLB,2,1,0,1,1.0
Killacam Promotions,2,1,0,0,0.0
Rize FC,2,2,1,1,0.5
TKO Palmas,2,1,0,1,1.0
Triple X Cagefighting,2,1,0,0,0.0
Kick Down,2,1,0,0,0.0
Luna Productions,2,1,0,1,1.0
UFR,2,2,0,2,1.0
Arena Surpass,2,2,0,1,0.5
WKA,2,2,0,2,1.0
AA,2,2,0,2,1.0
Allstars Fight Night,2,1,0,1,1.0
Pantanal Esporte e Lazer,2,2,0,0,0.0
Spartan,2,1,0,0,0.0
Tyumen MMA Federation,2,1,0,0,0.0
Invictos Team,2,2,0,2,1.0
CIMMA,2,1,0,1,1.0
WF,2,2,0,2,1.0
ATS Kombat,2,1,0,1,1.0
SPF / PSF,2,1,0,0,0.0
The Ultimate Warrior,2,1,0,0,0.0
Ultimax,2,2,0,1,0.5
Noc Skorpiona,2,1,0,1,1.0
IMBGIM,2,2,0,0,0.0
Fight Academy,2,2,0,2,1.0
CCCW,2,2,1,2,1.0
RRR Promotions,2,1,0,1,1.0
GFL,2,1,0,1,1.0
Republica MMA,2,2,0,1,0.5
Naiza,2,2,0,2,1.0
Square Off Promotions,2,2,0,2,1.0
Valiant FC,2,2,0,0,0.0
Kondzilla Fight Night,2,1,0,1,1.0
NoF,2,2,0,2,1.0
Ultra FC,2,1,0,1,1.0
Extreme Beatdown,2,2,0,2,1.0
Union of Mixed Martial Arts,2,2,0,1,0.5
PCG,2,1,0,1,1.0
ZZ,2,1,0,0,0.0
Max Sport,2,2,0,1,0.5
MMA Koszalin,2,2,0,1,0.5
Heat,2,1,0,1,1.0
Triumph Fighter,2,1,0,1,1.0
Force of One MMA,2,2,0,0,0.0
Bear River,2,2,0,1,0.5
NC /,2,2,0,1,0.5
AFP,2,2,0,1,0.5
GD,2,2,0,2,1.0
Lion Fight,2,2,0,2,1.0
Victory Fighting League,2,2,0,2,1.0
Brutaal Genesis Iowa,2,2,0,1,0.5
RC,2,2,0,0,0.0
Mile High MMAyhem,2,2,0,1,0.5
Sparta Combat League,2,2,0,2,1.0
UCC,2,2,1,2,1.0
XF,2,2,0,0,0.0
Talent Draft,2,2,0,1,0.5
CWB FIGHT LEAGUE,2,2,0,0,0.0
BFMMA,2,1,0,0,0.0
PXM,2,1,0,0,0.0
Opolscy Wojownicy,2,2,0,1,0.5
Kumite MMA,2,2,0,1,0.5
MASS,2,1,0,1,1.0
The Fight Project MMA,2,2,0,0,0.0
PMW,2,1,0,0,0.0
UFE,2,1,0,0,0.0
ExciteFight,2,2,0,2,1.0
NFG,2,2,0,1,0.5
Fight on the East,2,2,0,2,1.0
Wawan MMA,2,1,0,1,1.0
MixFace / Tech-Krep FC,2,2,0,2,1.0
A&A Fight Time Promotions,2,1,1,1,1.0
Only Men Stuff,2,2,0,2,1.0
FS,2,2,0,1,0.5
BFFC,2,2,0,1,0.5
Carpathian Warriors,2,2,0,1,0.5
Fight1,2,2,0,2,1.0
PCP,2,2,0,2,1.0
Coliseum FC,2,2,0,2,1.0
DMMA,2,2,0,1,0.5
Fusion Fighting Championship,2,1,0,0,0.0
Gape Fight Night,2,2,0,1,0.5
LOW,2,2,0,1,0.5
Dominus,2,2,0,0,0.0
FMMA,2,2,0,1,0.5
Madtown Throwdown,2,2,1,2,1.0
XKK,2,1,0,1,1.0
IFO,2,2,1,2,1.0
Desafio,2,1,0,1,1.0
Global Fight Club,2,2,0,2,1.0
Genesis Fights,2,1,0,1,1.0
NOTW,2,1,0,0,0.0
Mongol,2,2,0,1,0.5
FX3,2,2,1,2,1.0
UGP,2,1,0,1,1.0
Smesh MMA,2,2,0,1,0.5
Oklahoma KO,2,1,0,1,1.0
ZFC,2,1,0,1,1.0
KnuckleUp MMA,2,2,0,1,0.5
King Kombat,2,2,0,1,0.5
NCF,2,1,0,1,1.0
OFL,2,2,0,0,0.0
Nitrix,2,1,0,1,1.0
Sport Nocaut MMA,2,1,0,0,0.0
Kaue Rodrigues Fight Center,2,1,0,0,0.0
Shooto Kings,2,2,0,1,0.5
Synergy,2,2,0,1,0.5
Nordic Fighting Championship,2,2,0,2,1.0
LPM,2,1,0,0,0.0
War Of Gods,2,2,0,0,0.0
PIF,2,1,0,0,0.0
KCC,2,1,0,0,0.0
AWF,2,2,0,1,0.5
St. Chamas,2,2,0,0,0.0
Spirit of the Warrior,2,2,0,0,0.0
Dynamite,2,2,0,0,0.0
Crowbar MMA,2,2,1,2,1.0
Supreme Cage,2,2,0,1,0.5
Detentor Fight,2,1,0,1,1.0
Valhalla Fight Night,2,2,0,2,1.0
Extreme Combat Challenge,2,2,0,1,0.5
CSFM,2,1,0,1,1.0
Zuri,2,2,0,0,0.0
M-1 Fighter,2,2,0,2,1.0
Rkena,2,2,0,1,0.5
UPL,2,2,0,1,0.5
MMA International,2,2,0,1,0.5
Productora LFN,2,1,0,0,0.0
Forja dos Campeoes,2,2,0,2,1.0
West Combat,2,2,1,1,0.5
PFI,2,1,0,0,0.0
Cascavel Fight Championship,2,1,0,0,0.0
XCage 6 / PLMMA,2,2,0,2,1.0
Absolute Championship Berkut,2,2,0,1,0.5
Megdan,2,2,0,2,1.0
VHTHFF,2,2,0,2,1.0
BAF,2,2,0,0,0.0
KMC,2,2,0,1,0.5
Grachan / WCF,2,1,0,0,0.0
SBS,2,2,0,1,0.5
CFM,2,2,0,1,0.5
IFB,2,1,0,1,1.0
Samurai Pro Sports,2,1,0,1,1.0
YKC,2,2,0,1,0.5
HST,2,2,0,1,0.5
MMATC,2,2,0,2,1.0
Voronezh MMA Federation,2,2,0,1,0.5
AMC,2,2,0,1,0.5
AOWCF,2,2,2,2,1.0
Hardcore MMA,2,2,0,0,0.0
Garcia Promotions,2,2,1,2,1.0
Shogun Fights,2,2,0,1,0.5
NOVA,2,2,0,2,1.0
Sengoku,2,1,0,1,1.0
Steve Rivera's Elite Wrestling,2,2,0,2,1.0
Studsport,2,1,0,0,0.0
Smash,2,1,0,1,1.0
Twins,2,2,0,2,1.0
WFL MMA,2,1,0,0,0.0
Lyon Fighting Championship,2,2,0,1,0.5
FFAC,2,1,0,0,0.0
ReciFight MMA,2,1,0,1,1.0
Lions,2,2,0,2,1.0
Battle Arena,2,2,0,2,1.0
Brusque Championship MMA,2,1,0,0,0.0
UFCA Combat,2,2,0,0,0.0
FM,2,2,0,1,0.5
Northwest Fight Promotions,2,2,0,1,0.5
Cagefest Xtreme,2,1,0,1,1.0
UF SAGA,2,2,0,1,0.5
Pro Fighting Cesena / Venator FC,2,2,0,1,0.5
FNE,2,2,0,2,1.0
Minotaur,2,2,0,1,0.5
TFC Danghara,2,1,1,1,1.0
Reign,2,2,0,2,1.0
Olimp Extreme Fight,2,2,0,2,1.0
NOT,2,2,0,0,0.0
MITC,2,1,1,1,1.0
CFP,2,1,0,1,1.0
Rio FC,2,1,0,0,0.0
House of Fame,2,2,0,2,1.0
Top,2,2,0,2,1.0
EFC Africa,2,1,0,0,0.0
Kaiser Fight Night,2,2,0,2,1.0
Tahiti Fighting Championship,2,1,0,1,1.0
BOS,2,2,1,2,1.0
Honor Combat Series,2,2,0,0,0.0
The Cage MMA,2,2,0,0,0.0
EXF,2,2,0,0,0.0
Legion FC,2,2,0,1,0.5
FFL,2,2,0,1,0.5
World Amateur K-1 Federation,2,2,0,0,0.0
FNG / GFC,2,2,0,2,1.0
RCFN,2,2,0,1,0.5
OCE Professional,2,2,0,1,0.5
WJF,2,2,0,0,0.0
SMF,2,1,0,0,0.0
Arena Fight,2,2,0,0,0.0
Jez Premier Promotions,2,1,0,1,1.0
Ox MMA / Revolucao MMA,2,2,0,2,1.0
COG,2,2,0,1,0.5
Den Bojovnikov,2,2,0,1,0.5
Samara MMA Federation,2,2,0,2,1.0
The Golden Cage,2,2,0,2,1.0
TNG,2,2,1,2,1.0
Nightmare Promotions,2,2,0,0,0.0
Ring of Fire,2,2,1,2,1.0
CCS,2,2,0,1,0.5
CITC,2,2,0,0,0.0
MEZ Sports,2,2,0,1,0.5
Lem Fight,2,2,0,1,0.5
SMMAS,2,1,0,1,1.0
Bulldog Media,2,2,0,2,1.0
NMMAF,2,2,0,0,0.0
Tru-Form Entertainment,2,2,0,1,0.5
BONO,2,2,0,1,0.5
Throne,2,2,0,2,1.0
NS,2,2,1,1,0.5
King of Warriors MMA,2,2,0,1,0.5
FNP,2,2,0,1,0.5
Aruba Fighting Championship,2,2,1,2,1.0
EFS,2,2,0,1,0.5
Inhumas Fight Championship,2,2,0,0,0.0
Lutadores,2,2,0,0,0.0
LMMAI,2,2,0,0,0.0
Genesis Promotion,2,2,0,0,0.0
SDC MMA,2,2,0,2,1.0
Eiko,2,1,0,1,1.0
First Fighting Championship,2,2,0,1,0.5
Predador,2,1,0,1,1.0
Throne MMA,2,1,0,1,1.0
Hoyer's Productions,2,2,0,1,0.5
AEF,2,1,0,1,1.0
FC,2,2,0,1,0.5
Face The Danger,2,2,0,2,1.0
Fight Pro Championship,2,1,0,1,1.0
Evolution,2,2,0,0,0.0
DG,2,2,0,0,0.0
FEFoMP and Russian MMA Union,2,2,1,2,1.0
ANMMA,2,2,0,2,1.0
Saturn & RusFighters,2,1,0,0,0.0
Union of Veterans of Sport,2,2,0,2,1.0
Lion's Fights,2,2,0,2,1.0
Caged,2,2,0,2,1.0
TSF,2,2,0,1,0.5
Knockout in the Cage,2,1,0,1,1.0
TRUE TIME,2,2,0,1,0.5
BKP,2,1,0,1,1.0
FWR,2,2,0,1,0.5
Bellator Birmingham,2,2,0,2,1.0
RMMAC,2,1,0,1,1.0
BvtW,2,1,0,1,1.0
TWNC,2,2,0,0,0.0
Bushido Fighting Championship,2,2,0,2,1.0
IMC,2,2,0,2,1.0
CEF,2,2,0,1,0.5
UCS,2,2,0,2,1.0
Strikeforce / M-1 Global,2,2,1,2,1.0
Pinnacle FC,2,2,1,1,0.5
GOTC,2,1,0,0,0.0
Spartan MMA,2,1,0,1,1.0
Sharks Fight,2,2,0,1,0.5
Evolution Sports Expo,2,1,0,1,1.0
FTS,2,1,0,0,0.0
Rogue Fights,2,2,0,1,0.5
OR,2,2,1,1,0.5
Gallus FC,2,1,0,0,0.0
Jennifer Ireland Foundation,2,2,0,2,1.0
Romani Fight Brasil,2,2,1,1,0.5
WH,2,1,0,1,1.0
CombatX,2,2,0,0,0.0
VCS,2,2,1,2,1.0
CCW,2,2,0,2,1.0
XFS,2,2,1,2,1.0
FSG,2,2,0,2,1.0
PCC,2,2,0,2,1.0
011 MMA Team,2,2,0,1,0.5
Aftermath Combat Sports,2,2,0,0,0.0
Honor,2,2,0,2,1.0
Fight One,2,1,0,1,1.0
COBVT,2,1,0,1,1.0
Slam FC,2,1,0,1,1.0
ABG Promotions,2,2,2,2,1.0
Wolf Fight Promotion,2,1,0,1,1.0
Black Dragon,2,2,1,2,1.0
Eurasian Fighting Championship,2,2,0,1,0.5
Siberian Fighter,2,2,0,1,0.5
TFF,2,2,0,1,0.5
FOP,2,1,0,1,1.0
Industrials,2,2,0,1,0.5
GCFC,2,1,0,0,0.0
Brave CF 74 / HXMMA,2,2,0,1,0.5
Xtreme Combat Promotions,2,2,0,1,0.5
24/7 Entertainment 16 &,2,2,1,2,1.0
Senshi MMA,2,1,0,1,1.0
TCMMA,2,1,0,1,1.0
iFF,2,2,0,2,1.0
Imbgim FC,2,2,0,1,0.5
Bellator Champions Series London,2,2,0,2,1.0
GMMA,2,1,0,1,1.0
Gladiador,2,2,0,1,0.5
PCFN,2,2,0,1,0.5
Souza Combat MV,2,2,0,2,1.0
MCFC,2,1,0,0,0.0
KP,2,2,1,2,1.0
Fight On MMA,2,1,0,0,0.0
EBR,2,2,0,2,1.0
FMC,2,1,0,1,1.0
Octogone,2,2,0,2,1.0
Chinese Kung Fu Championships,2,1,0,1,1.0
PureCombat,2,2,0,1,0.5
Evocke Fight,2,2,1,1,0.5
Batalha MMA,2,2,1,2,1.0
CLIP,2,1,1,1,1.0
MMASH,2,2,1,2,1.0
Peru FC,2,2,1,2,1.0
Tayta,2,1,1,1,1.0
Strike Off,2,2,1,1,0.5
Rocktagon,2,2,0,1,0.5
24/7 Entertainment,2,2,1,1,0.5
WEF ProfFight,2,2,0,0,0.0
Shogun MMA,2,2,0,1,0.5
Urartu,2,1,0,0,0.0
Night of Champions,2,2,0,2,1.0
RSF,2,2,0,1,0.5
Fatality Arena,2,2,0,2,1.0
Guerreiros Vikings,2,1,0,1,1.0
Zero 11 Bar,2,2,0,1,0.5
Phoenix MMA UK,2,2,0,0,0.0
Action Fight League,2,1,0,1,1.0
Latvian MMA Association,2,2,0,1,0.5
Road to One,2,1,0,0,0.0
MMMA,2,2,0,1,0.5
ECMMA,2,2,1,1,0.5
Griggs Entertainment,2,1,0,0,0.0
Global FC,2,1,0,0,0.0
PLMMA 18 Extra / Prime,2,2,0,2,1.0
PDC MMA,2,2,0,0,0.0
SCF,2,2,0,0,0.0
CFA,2,2,1,2,1.0
World Pankido Federation,2,2,0,0,0.0
Infinity Fight Team,2,1,0,0,0.0
Combat Games MMA,2,1,0,1,1.0
DMF,2,2,0,1,0.5
SCS,2,1,0,0,0.0
IWC,2,1,0,0,0.0
GOTC MMA,2,2,1,2,1.0
Destroyer,2,2,0,0,0.0
Adrenalina MMA / Infinity Fight Team,2,2,0,0,0.0
Revolution MMA,2,2,0,0,0.0
Round,2,2,0,1,0.5
Vale Tudo MMA Academy,2,2,0,1,0.5
IMAT,2,2,0,1,0.5
Contenders,2,2,0,0,0.0
TG,2,1,0,1,1.0
WKG & M-1 Global,2,2,0,0,0.0
Elev8 Fight League,2,1,0,1,1.0
Dream,2,1,0,1,1.0
International League MMA,2,1,0,1,1.0
Staredown,2,2,0,1,0.5
B1 MMA,2,2,0,0,0.0
LBS Challenger,2,2,0,2,1.0
305 Fights,2,2,0,0,0.0
M-1 MFC,2,2,0,2,1.0
FHMMA,2,2,0,2,1.0
Georgian Fighting Championship,2,2,0,0,0.0
FFA,2,2,0,2,1.0
HCC,2,2,0,1,0.5
Wieczor Walk,2,2,0,2,1.0
DWM Fight Night,2,2,0,1,0.5
King's Arena,2,2,0,1,0.5
Respect Fighting Championship,2,2,0,0,0.0
Borroka Promotions,2,1,0,1,1.0
GOTA,2,1,0,0,0.0
ZLF,2,2,0,1,0.5
Curitiba Top Fight,2,2,0,2,1.0
ROFE,2,1,1,1,1.0
BFF,2,1,0,1,1.0
SMMAC,2,2,1,2,1.0
AKA,2,2,0,0,0.0
K-1 HERO'S,2,2,0,2,1.0
Mad Fighting Championship,2,2,0,0,0.0
El Mas Fuerte,1,1,0,1,1.0
CAMGFC,1,1,0,0,0.0
IQFC,1,1,0,0,0.0
FR,1,1,0,1,1.0
Fuji Fight,1,1,0,0,0.0
WOCS Challenge,1,1,0,1,1.0
XFM,1,1,0,1,1.0
FC Rio Maria,1,1,0,1,1.0
Gladiators Bowl,1,1,0,0,0.0
Conquest MMA,1,1,0,0,0.0
Kongs Fighting Championship,1,1,0,1,1.0
Atlas MMA,1,1,1,1,1.0
Enfusion,1,1,0,1,1.0
Predator Fight Club,1,1,0,1,1.0
BC Fight,1,1,0,1,1.0
Hero FC,1,1,0,0,0.0
MKC,1,1,0,1,1.0
QFC,1,1,0,0,0.0
KFE,1,1,0,0,0.0
BWL,1,1,0,1,1.0
PLMMA 62 / AFC,1,1,0,1,1.0
IWCC,1,1,0,0,0.0
Furio Fighter,1,1,0,0,0.0
FKS,1,1,0,1,1.0
Alvorada Fight Combat,1,1,0,0,0.0
Marau Combat,1,1,0,0,0.0
Challenge Cup,1,1,0,1,1.0
Copa Predadores,1,1,0,0,0.0
CATC,1,1,0,1,1.0
RSU,1,1,0,1,1.0
Cage Gods,1,1,0,1,1.0
ACM,1,1,0,1,1.0
FLA,1,1,0,0,0.0
POC,1,1,0,1,1.0
Durham Fight Series,1,1,0,0,0.0
PLMMA 59 / AFC,1,1,0,1,1.0
Pyatigorsk Fighting,1,1,0,1,1.0
Xtreme Fighting Alliance,1,1,0,0,0.0
SibForce,1,1,0,0,0.0
Draka MMA,1,1,0,0,0.0
Cage Fighting Slovakia,1,1,0,0,0.0
NF,1,1,0,0,0.0
Beatdown Promotions,1,1,1,1,1.0
Glory Fighting Championships,1,1,0,0,0.0
Fighting with the Stars,1,1,0,1,1.0
BlueBlood MMA / QCFC,1,1,0,1,1.0
Way of Warrior,1,1,0,0,0.0
TFP,1,1,0,1,1.0
Gladiators,1,1,0,1,1.0
Sarkozi MMA Team,1,1,0,0,0.0
CombatX MMA Hungary,1,1,0,0,0.0
Expocombat,1,1,0,1,1.0
Super Pitbull Combat Mae do Rio,1,1,0,1,1.0
ICW,1,1,0,1,1.0
KOMMA,1,1,0,1,1.0
Seconds Out / Vivid MMA,1,1,0,1,1.0
915 MMA,1,1,0,0,0.0
JMMAS,1,1,0,0,0.0
MWC,1,1,0,0,0.0
Rumble on the Ridge,1,1,0,1,1.0
Alliance,1,1,0,1,1.0
Liga X13,1,1,0,1,1.0
FBB,1,1,0,1,1.0
Vtx Fight Combat,1,1,0,1,1.0
JC (Amapa),1,1,0,1,1.0
KWF MMA,1,1,0,1,1.0
BCP,1,1,0,0,0.0
West Fights,1,1,0,0,0.0
WCT,1,1,0,0,0.0
MMA Team Bariloche,1,1,0,0,0.0
IM,1,1,0,0,0.0
PHF,1,1,0,0,0.0
Strength & Honour,1,1,0,1,1.0
Nerike MMA,1,1,0,1,1.0
FC6,1,1,0,1,1.0
Battle on Tsna,1,1,0,0,0.0
Sul Fluminense Fight Night,1,1,1,1,1.0
K1EL,1,1,1,1,1.0
War of the Vikings,1,1,0,1,1.0
MTGP,1,1,0,1,1.0
Samurai Fight Contest,1,1,1,1,1.0
DTC Fights,1,1,1,1,1.0
Suomen Vapaaotteluliitto,1,1,0,1,1.0
The M Fight League,1,1,0,1,1.0
Nilo Fight,1,1,0,0,0.0
KSW Epic,1,1,0,1,1.0
FECALUMA,1,1,1,1,1.0
Danish MMA Night,1,1,0,1,1.0
ShoFight,1,1,0,1,1.0
Gold Warriors MMA,1,1,0,1,1.0
TKOTC,1,1,0,1,1.0
COTT,1,1,0,1,1.0
IR,1,1,0,1,1.0
Superacao Fight,1,1,0,1,1.0
EWT,1,1,0,1,1.0
EOF,1,1,0,1,1.0
P5,1,1,0,0,0.0
EUG,1,1,0,0,0.0
RMBB,1,1,0,0,0.0
Northwest Fight Challenge,1,1,0,1,1.0
Noche de Titanes,1,1,0,0,0.0
Immortal Champions,1,1,0,0,0.0
Muay Thai Mayhem,1,1,0,0,0.0
Instinct MMA,1,1,0,1,1.0
MTK,1,1,0,0,0.0
FGAMM,1,1,0,0,0.0
ASF,1,1,0,0,0.0
KW,1,1,0,1,1.0
Battleground,1,1,0,0,0.0
Gladiadores,1,1,0,1,1.0
Ultimatum MMA,1,1,0,0,0.0
PLMMA 66 / 3F,1,1,0,1,1.0
War Zone Fight Events,1,1,0,0,0.0
StandUpWar,1,1,0,1,1.0
KFN,1,1,0,1,1.0
PLMMA 24 Extra,1,1,0,1,1.0
PLMMA 26 Extra,1,1,0,1,1.0
BFC: Contender Series,1,1,0,1,1.0
Familia Furacao,1,1,0,0,0.0
Team Buck Wild,1,1,0,0,0.0
AOS9,1,1,0,0,0.0
Samurai FC / PFE,1,1,0,1,1.0
Rostov Region Pankration Federation,1,1,0,0,0.0
Kokoro Cup,1,1,0,1,1.0
AMC Fight Nights Global,1,1,0,0,0.0
Power Fighting Championship,1,1,0,1,1.0
RFC Colombia,1,1,0,1,1.0
Brutal Team,1,1,0,1,1.0
Fight Nights Global,1,1,0,1,1.0
Empire Sports Marketing,1,1,0,1,1.0
Colombia MMA,1,1,0,1,1.0
XMA,1,1,0,1,1.0
Pitbull Fighting,1,1,0,1,1.0
Frozen Fury,1,1,0,1,1.0
PLMMA 58 / AFC 2 / MMA Cup,1,1,0,0,0.0
PS,1,1,0,0,0.0
51Fifty,1,1,0,0,0.0
